league,season,team,player,nation,position,age,born_year,90s,passes_attempted,play_passes,fk_passes,free_kicks_passes,through_ball_passes,switches_passes,crosses_passes,throw_ins_passes,corner_kicks_passes,inswinging_corner_kicks,outswinging_corner_kicks,straight_corner_kicks,passes_completed,passes_offside,passes_blocked_by_rival
Premier League,2425,Brighton,Pervis Estupiñán,ECU,DF,27,1998.0,26.7,1610,1370,237,20,0,5,119,180,37,23,9,3,1338,3,28
Premier League,2425,Brighton,Simon Adingra,CIV,"FW,MF",23,2002.0,11.7,369,359,9,0,2,0,38,8,1,0,0,0,283,1,12
Premier League,2425,Brighton,Solly March,ENG,"FW,MF",30,1994.0,1.9,95,81,14,1,0,1,20,6,6,3,2,1,60,0,7
Premier League,2425,Brighton,Tariq Lamptey,GHA,DF,24,2000.0,9.6,413,346,66,5,0,1,28,60,1,1,0,0,335,1,6
Premier League,2425,Brighton,Yankuba Minteh,GAM,"FW,MF",20,2004.0,19.4,522,476,44,9,2,4,85,19,16,7,6,0,325,2,33
Premier League,2425,Brighton,Yasin Ayari,SWE,MF,21,2003.0,21.3,951,862,88,33,10,1,66,3,34,26,5,1,776,1,14
Premier League,2425,Chelsea,Axel Disasi,FRA,DF,27,1998.0,4.0,293,266,27,10,0,1,0,17,0,0,0,0,266,0,2
Premier League,2425,Chelsea,Benoît Badiashile,FRA,DF,24,2001.0,3.7,304,288,15,5,0,1,0,0,0,0,0,0,273,1,0
Premier League,2425,Chelsea,Christopher Nkunku,FRA,FW,27,1997.0,10.2,334,327,7,1,2,1,4,0,2,0,0,0,299,0,3
Premier League,2425,Chelsea,Cole Palmer,ENG,MF,23,2002.0,34.5,1442,1239,194,44,22,14,139,16,74,49,5,0,1113,9,46
Premier League,2425,Chelsea,Enzo Fernández,ARG,MF,24,2001.0,31.7,1872,1729,134,53,14,25,108,4,74,44,12,1,1499,9,45
Premier League,2425,Chelsea,Filip Jørgensen,DEN,GK,23,2002.0,6.0,189,169,20,2,0,0,0,0,0,0,0,0,158,0,0
Premier League,2425,Chelsea,Jadon Sancho,ENG,FW,25,2000.0,18.9,779,767,11,1,7,1,24,9,1,1,0,0,643,1,23
Premier League,2425,Chelsea,Joshua Acheampong,ENG,DF,19,2006.0,1.9,124,121,3,2,0,0,0,1,0,0,0,0,104,0,2
Premier League,2425,Chelsea,João Félix,POR,"FW,MF",25,1999.0,4.1,199,193,5,2,2,1,0,3,0,0,0,0,171,1,5
Premier League,2425,Chelsea,Kiernan Dewsbury-Hall,ENG,"MF,FW",26,1998.0,2.9,152,147,4,1,0,1,2,0,2,0,0,1,127,1,2
Premier League,2425,Chelsea,Levi Colwill,ENG,DF,22,2003.0,34.0,2563,2373,186,86,3,7,13,7,0,0,0,0,2288,4,21
Premier League,2425,Chelsea,Malo Gusto,FRA,DF,22,2003.0,20.5,1380,1225,153,37,2,3,52,116,0,0,0,0,1195,2,26
Premier League,2425,Chelsea,Marc Cucurella,ESP,DF,26,1998.0,32.2,1875,1601,267,28,2,1,31,237,2,0,0,0,1643,7,23
Premier League,2425,Chelsea,Marc Guiu,ESP,FW,19,2006.0,0.8,16,14,2,0,0,0,0,0,0,0,0,0,11,0,0
Premier League,2425,Chelsea,Mathis Amougou,FRA,MF,19,2006.0,0.1,7,7,0,0,0,0,0,0,0,0,0,0,7,0,0
Premier League,2425,Chelsea,Moisés Caicedo,ECU,"MF,DF",23,2001.0,36.2,2161,2084,73,46,12,13,10,27,0,0,0,0,1939,4,20
Premier League,2425,Chelsea,Mykhailo Mudryk,UKR,FW,24,2001.0,1.7,42,40,2,0,1,0,7,0,2,0,0,0,28,0,1
Premier League,2425,Chelsea,Nicolas Jackson,SEN,FW,23,2001.0,24.7,399,385,12,1,1,0,3,4,0,0,0,0,303,2,15
Premier League,2425,Chelsea,Noni Madueke,ENG,FW,23,2002.0,21.6,648,624,19,1,1,4,63,17,1,0,0,0,502,5,14
Premier League,2425,Chelsea,Pedro Neto,POR,FW,25,2000.0,24.4,877,792,83,14,0,5,147,13,53,16,15,5,690,2,25
Premier League,2425,Chelsea,Reece James,ENG,"DF,MF",25,1999.0,10.8,793,681,108,32,4,2,42,57,19,11,5,1,666,4,9
Premier League,2425,Chelsea,Renato Veiga,POR,"DF,MF",21,2003.0,2.0,139,127,12,5,0,0,0,7,0,0,0,0,118,0,1
Premier League,2425,Chelsea,Robert Sánchez,ESP,GK,27,1997.0,31.0,1214,1057,150,71,0,6,0,0,0,0,0,0,857,7,1
Premier League,2425,Chelsea,Roméo Lavia,BEL,MF,21,2004.0,8.5,416,411,3,3,3,3,0,0,0,0,0,0,382,2,1
Premier League,2425,Chelsea,Shumaira Mheuka,ENG,MF,17,2007.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Premier League,2425,Chelsea,Tosin Adarabioyo,ENG,DF,27,1997.0,14.7,1125,1085,38,22,2,3,0,4,0,0,0,0,1028,2,3
